choice,RT,p
1,530,0.00512653
-1,3150,0.000710261
-1,360,0.00749236
-1,6280,8.47832e-05
1,1420,0.00332367
1,540,0.0142421
1,1530,0.00301933
1,370,0.0141169
1,450,0.00454764
1,1560,0.00240859
1,260,0.00795028
-1,340,0.00306901
-1,480,0.00962188
-1,640,0.0120042
1,750,0.00859217
-1,640,0.0120042
-1,3880,0.000372583
-1,860,0.00699354
1,1760,0.00246347
1,1520,0.0015907
1,1330,0.00356011
-1,350,0.00323693
1,1370,0.00155139
-1,1890,0.00219407
-1,2160,0.0017237
-1,1100,0.00520499
-1,960,0.00647564
-1,630,0.0122487
1,1620,0.000334365
-1,3480,0.000476843
1,1770,0.000453582
1,530,0.0144206
-1,870,0.00680437
1,1490,0.00312706
1,1390,0.00321716
-1,810,0.00799982
-1,460,0.0151924
1,5550,0.000133004
-1,500,0.00974923
1,450,0.0152113
-1,770,0.00887417
-1,1720,0.00255262
1,2970,0.000653121
-1,450,0.00454763
-1,2710,0.000766714
1,6610,3.20122e-05
1,1560,0.000866283
1,540,0.0142421
1,910,0.00496416
1,1350,0.00175834
-1,800,0.00809445
-1,2070,0.00113742
-1,1590,0.00228806
1,610,0.00968909
1,680,0.0110171
-1,540,0.0142421
-1,3110,0.000736172
1,660,0.0115112
-1,650,0.00944867
-1,2480,0.000883544
-1,1610,0.000742745
1,390,0.0146298
1,450,0.0152113
-1,1900,0.00217458
-1,2760,0.00100725
-1,290,0.00215741
1,1130,0.00495888
1,10750,5.38129e-06
-1,540,0.0142421
-1,1900,0.000303664
-1,550,0.0140516
1,640,0.0120042
1,610,0.00538601
1,620,0.00963685
-1,700,0.0105261
-1,4070,0.00033138
1,530,0.0144206
-1,2360,0.000607593
-1,1790,0.000426441
-1,420,0.0150834
-1,1260,0.00381039
-1,1840,0.00229411
-1,990,0.00484534
-1,480,0.00962188
-1,960,0.00528273
1,310,0.0114323
-1,3190,0.000570243
1,1620,0.00278914
-1,520,0.00982608
-1,2890,0.000896534
1,330,0.0125236
-1,1880,0.00139018
1,450,0.0152113
-1,840,0.00516468
-1,890,0.0064382
1,550,0.0140516
-1,730,0.0098024
1,1120,0.00503985
-1,330,0.0125236
-1,910,0.00608823
-1,850,0.00718678
-1,2400,0.00139048
1,410,0.0149715
1,410,0.0149715
-1,1040,0.00454108
1,550,0.0140516
1,860,0.00699354
1,1200,0.00260002
-1,470,0.00472814
1,3190,0.00068526
1,210,0.00401672
1,4660,0.000183636
-1,1170,0.00194392
-1,2630,0.000135661
1,2920,0.000231148
-1,540,0.00517422
-1,830,0.00778793
1,660,0.00543129
-1,1910,0.00125491
-1,2720,0.00032644
1,460,0.0151924
1,3420,0.000557668
-1,940,0.00667174
1,1250,0.0018611
-1,580,0.00980785
1,2140,0.000888059
1,470,0.00953749
-1,3990,0.000348142
1,2510,0.000867356
1,670,0.00543197
-1,410,0.00869615
-1,1700,0.00259834
-1,380,0.00803238
1,540,0.0142421
-1,220,0.00477915
-1,530,0.0144206
1,1010,0.006
1,460,0.00943829
1,480,0.0150757
1,2180,0.00106297
-1,740,0.00868821
