d,sigma,theta,bias,p
0.0035,0.075,0.8,0,0
0.005,0.075,0.8,0,8.55054e-31
0.0065,0.075,0.8,0,3.59909e-40
0.008,0.075,0.8,0,0
0.0035,0.06,0.5,0.25,0
0.005,0.06,0.5,0.25,0
0.0065,0.06,0.5,0.25,0
0.008,0.06,0.5,0.25,0
0.0035,0.065,0.5,0.25,0
0.005,0.065,0.5,0.25,0
0.0065,0.065,0.5,0.25,0
0.008,0.065,0.5,0.25,0
0.0035,0.07,0.5,0.25,0
0.005,0.07,0.5,0.25,0
0.0065,0.07,0.5,0.25,0
0.008,0.07,0.5,0.25,0
0.0035,0.075,0.5,0.25,0
0.005,0.075,0.5,0.25,0
0.0065,0.075,0.5,0.25,0
0.008,0.075,0.5,0.25,0
0.0035,0.06,0.65,0.25,0
0.005,0.06,0.65,0.25,0
0.0065,0.06,0.65,0.25,0
0.008,0.06,0.65,0.25,0
0.0035,0.065,0.65,0.25,0
0.005,0.065,0.65,0.25,0
0.0065,0.065,0.65,0.25,0
0.008,0.065,0.65,0.25,0
0.0035,0.07,0.65,0.25,0
0.005,0.07,0.65,0.25,0
0.0065,0.07,0.65,0.25,0
0.008,0.07,0.65,0.25,0
0.0035,0.075,0.65,0.25,0
0.005,0.075,0.65,0.25,0
0.0065,0.075,0.65,0.25,0
0.008,0.075,0.65,0.25,0
0.0035,0.06,0.35,0.5,0
0.005,0.06,0.35,0.5,0
0.0065,0.06,0.35,0.5,0
0.008,0.06,0.35,0.5,0
0.0035,0.065,0.35,0.5,0
0.005,0.065,0.35,0.5,0
0.0065,0.065,0.35,0.5,0
0.008,0.065,0.35,0.5,0
0.0035,0.07,0.35,0.5,0
0.005,0.07,0.35,0.5,0
0.0065,0.07,0.35,0.5,0
0.008,0.07,0.35,0.5,0
0.0035,0.075,0.35,0.5,0
0.005,0.075,0.35,0.5,0
0.0065,0.075,0.35,0.5,0
0.008,0.075,0.35,0.5,0
0.0035,0.06,0.8,0.25,0
0.005,0.06,0.8,0.25,0
0.0065,0.06,0.8,0.25,0
0.008,0.06,0.8,0.25,0
0.0035,0.065,0.8,0.25,0
0.005,0.065,0.8,0.25,0
0.0065,0.065,0.8,0.25,0
0.008,0.065,0.8,0.25,0
0.0035,0.07,0.8,0.25,0
0.005,0.07,0.8,0.25,0
0.0065,0.07,0.8,0.25,0
0.008,0.07,0.8,0.25,0
0.0035,0.075,0.8,0.25,0
0.005,0.075,0.8,0.25,0
0.0065,0.075,0.8,0.25,0
0.008,0.075,0.8,0.25,0
0.0035,0.06,0.5,0.5,0
0.005,0.06,0.5,0.5,0
0.0065,0.06,0.5,0.5,0
0.008,0.06,0.5,0.5,0
0.0035,0.065,0.5,0.5,0
0.005,0.065,0.5,0.5,0
0.0065,0.065,0.5,0.5,0
0.008,0.065,0.5,0.5,0
0.0035,0.07,0.5,0.5,0
0.005,0.07,0.5,0.5,0
0.0065,0.07,0.5,0.5,0
0.008,0.07,0.5,0.5,0
0.0035,0.075,0.5,0.5,0
0.005,0.075,0.5,0.5,0
0.0065,0.075,0.5,0.5,0
0.008,0.075,0.5,0.5,0
0.0035,0.06,0.65,0.5,0
0.005,0.06,0.65,0.5,0
0.0065,0.06,0.65,0.5,0
0.008,0.06,0.65,0.5,0
0.0035,0.065,0.65,0.5,0
0.005,0.065,0.65,0.5,0
0.0065,0.065,0.65,0.5,0
0.008,0.065,0.65,0.5,0
0.0035,0.07,0.65,0.5,0
0.005,0.07,0.65,0.5,0
0.0065,0.07,0.65,0.5,0
0.008,0.07,0.65,0.5,0
0.0035,0.075,0.65,0.5,0
0.005,0.075,0.65,0.5,0
0.0065,0.075,0.65,0.5,0
0.008,0.075,0.65,0.5,0
0.0035,0.06,0.8,0.5,0
0.005,0.06,0.8,0.5,0
0.0065,0.06,0.8,0.5,0
0.008,0.06,0.8,0.5,0
0.0035,0.065,0.8,0.5,0
0.005,0.065,0.8,0.5,0
0.0065,0.065,0.8,0.5,0
0.008,0.065,0.8,0.5,0
0.0035,0.07,0.8,0.5,0
0.005,0.07,0.8,0.5,0
0.0065,0.07,0.8,0.5,0
0.008,0.07,0.8,0.5,0
0.0035,0.075,0.8,0.5,0
0.005,0.075,0.8,0.5,0
0.0065,0.075,0.8,0.5,0
0.008,0.075,0.8,0.5,0
