choice,RT,p
-1,1360,0.004912230887438249
1,640,0.004134200503426622
-1,510,0.004876627718412249
-1,1060,0.005968062395293265
-1,1090,0.0032794069436601755
-1,710,0.011844878829875088
1,1620,0.007277989226123177
-1,1280,0.004890149967820691
1,1610,0.005970901119753422
1,1960,0.004845631243859774
-1,3490,0.0004893721173625541
-1,490,0.004169416020788122
-1,770,0.0034050988311327786
1,330,0.006019269258908611
1,710,0.002556291299272357
-1,690,0.006353185015850586
1,2200,0.0013750851637763513
-1,1840,0.0010689457741676388
1,1320,0.008272008824912268
-1,1410,0.0051377017435115125
-1,2490,0.002667657765370208
-1,440,0.00865973918199146
-1,890,0.002010720357842921
-1,880,0.008983548378501774
-1,2240,0.0011877259999286457
-1,1140,0.008136022443667805
1,1670,0.004392852546761619
1,690,0.007462650824460103
1,1590,0.0036727701368327974
-1,1600,0.004332907266176918
-1,730,0.0011645406892971397
-1,630,0.0025066237543806573
-1,2100,0.003104534388610218
-1,620,0.0064521542481798646
-1,860,0.006423450325834486
1,740,0.001443304621399967
1,1630,0.005077525464480866
-1,500,0.005146748699826529
1,1410,0.007621496526204896
-1,310,0.0013101285729881726
-1,1610,0.0006020687975458008
1,2910,0.00043730811141251416
-1,500,0.0021570043770837485
-1,640,0.006681396396485873
1,1230,0.001981788374027512
1,2750,0.0023452535849747304
-1,1590,0.004836807459734748
1,880,0.0008870735322850306
-1,3630,0.0003021982961268455
1,1840,0.0017701486313289761
1,800,0.015121828197046733
-1,4160,9.193957084216138e-06
-1,1920,0.0003149089290515859
1,1410,0.005751494410001001
1,680,0.014888212587279858
-1,2750,0.00033187778055020656
1,990,0.005320077861948965
1,620,0.006641919533195278
-1,1450,0.004147970268528344
1,1180,0.0029308689812882257
-1,1080,0.008598732615640956
-1,1630,0.002560796650806582
-1,680,0.0022492913892274593
1,1200,0.006530979689034777
-1,2310,0.0025080123836519136
-1,2030,0.0034801407447350415
-1,640,0.008338466469114953
1,1660,0.000870775445860352
-1,510,0.006455590014036985
1,1650,0.00073023307354258
-1,1980,0.0016751225791446789
1,2020,0.0009741805345607952
1,1600,0.0037403139293497806
1,340,0.0075138575023287356
1,2280,0.00029703164532927614
1,550,0.017344765586515116
-1,530,0.011222622220316478
1,1190,0.0017288321880014684
-1,2780,0.0006140583648635301
1,2380,0.0026136308263210754
-1,890,0.004142168827890462
-1,690,0.0032618121552637704
1,1150,0.0069738992939972445
-1,2630,0.0018920466118081745
1,2420,0.0007335739709408869
-1,600,0.0061513843063012805
-1,760,0.006361208231835805
-1,1090,0.008368243882550528
-1,2380,0.0006986761945686706
-1,4970,1.5013259355800784e-05
1,930,0.001059150240369719
1,1750,0.0014036884676983457
-1,3350,0.0008020904329840877
-1,670,0.0031299272249701014
-1,2020,0.0030898736738087626
1,550,0.004813115521756783
1,800,0.004536225671888447
1,2170,0.001044566497276009
1,4180,0.0002931119237748405
1,3620,0.00019824071721092615
-1,2130,0.0012351276942779517
1,660,0.008856766653920916
1,530,0.0014479295731574659
-1,850,0.003265801510677036
-1,1000,0.004486985685683375
1,890,0.00044839309025606754
-1,2090,0.002527420468734156
1,1230,0.004272773021243672
-1,1350,0.00465286965717036
-1,3460,0.00044679073032957885
-1,2440,0.0020288586194398836
-1,1970,0.0027578713742673886
-1,1360,0.0037402659533266893
-1,5320,1.3217096885551953e-05
-1,1820,0.002219389319173739
-1,420,0.003975429528373577
-1,1270,0.00674064959508195
-1,2720,0.0016665127971322127
1,380,0.010268725711099182
-1,880,0.0019300317190206861
1,750,0.003639200112634298
