choice,RT,p,valLeft,valRight
-1,100,2.40757e-09,0,5
1,580,0.000650756,5,4
1,160,1.81727e-06,3,0
1,30,3.38575e-25,3,1
-1,360,2.41526e-05,1,4
-1,180,0.000341593,1,0
-1,250,4.85986e-05,3,5
1,510,0.00509082,0,1
1,130,1.37068e-06,3,1
1,400,0.000480845,2,1
-1,160,2.04318e-05,0,1
-1,110,8.52622e-07,3,4
1,540,0.00014582,5,3
1,150,1.32223e-05,5,4
1,490,0.00494956,0,1
-1,90,2.16183e-09,1,5
-1,220,0.000105519,3,4
1,180,2.11976e-07,5,0
1,410,0.000126766,3,1
-1,270,0.00021357,4,5
-1,760,0.0023208,3,3
1,60,1.04949e-12,4,0
-1,140,7.92977e-06,3,4
-1,80,1.0787e-10,0,5
-1,50,6.07988e-15,1,5
1,250,1.24265e-05,3,0
-1,200,0.000211276,5,5
1,70,3.2128e-11,5,1
1,30,3.38575e-25,4,2
-1,140,2.49545e-06,0,2
1,260,1.37966e-05,5,2
1,160,0.000169854,0,1
-1,260,1.37965e-05,1,4
1,480,0.000141297,4,2
-1,470,2.69959e-05,2,5
-1,210,8.6887e-05,1,2
-1,40,3.37049e-18,1,4
-1,70,9.33453e-10,2,3
1,70,9.84215e-12,5,0
1,80,6.41255e-07,2,5
-1,310,0.000305005,0,1
1,280,0.0170196,1,5
-1,150,4.12776e-06,3,5
-1,120,6.15616e-06,1,1
1,80,1.0787e-10,5,0
1,130,3.04863e-08,5,0
1,250,1.24265e-05,3,0
-1,120,2.01503e-07,1,4
1,70,1.01775e-10,5,2
1,70,1.01775e-10,4,1
-1,40,3.37049e-18,0,3
-1,110,8.44009e-08,2,5
1,90,6.29728e-10,5,0
-1,130,3.58342e-05,5,4
-1,640,0.000666578,2,3
-1,260,5.46537e-05,3,5
1,160,6.11743e-05,1,1
1,230,0.000125462,5,4
1,120,6.65639e-07,2,0
-1,170,2.58666e-06,1,4
-1,230,0.000125461,3,4
-1,60,3.30061e-13,0,5
-1,200,2.09499e-05,1,3
1,160,0.000437365,0,2
1,300,0.00235433,1,2
-1,370,0.00135685,5,5
1,120,2.01503e-07,4,1
-1,60,3.30061e-13,0,5
-1,50,1.59898e-13,0,1
-1,80,3.20172e-08,3,3
-1,480,0.000583984,4,5
-1,180,8.99459e-07,0,4
1,100,2.81236e-07,2,1
-1,160,6.32798e-06,1,3
-1,130,4.09436e-07,2,5
-1,170,8.916e-05,0,0
1,190,2.64308e-07,5,0
1,60,1.04949e-12,5,1
1,210,6.96598e-06,5,2
-1,150,3.94761e-05,4,4
1,160,1.81727e-06,3,0
-1,510,0.000610392,3,4
-1,450,0.00178002,1,1
-1,130,1.28224e-05,2,2
1,710,0.000669343,1,0
1,80,3.20173e-08,1,1
-1,60,2.90326e-11,4,5
-1,190,2.64308e-07,0,5
-1,310,0.000305005,0,1
1,350,0.000390253,5,4
1,40,9.85327e-18,4,2
1,80,3.20173e-08,5,5
-1,150,1.32223e-05,1,2
1,400,0.00400969,0,1
1,80,3.647e-09,2,0
1,60,9.84276e-12,4,2
-1,260,0.000586595,1,1
1,180,1.25168e-05,4,2
-1,260,1.37965e-05,1,4
1,170,9.12496e-06,2,0
1,30,1.17834e-25,3,0
-1,80,3.61226e-10,0,4
1,170,9.12496e-06,3,1
1,130,4.09437e-07,5,2
-1,190,1.14779e-06,1,5
1,280,6.67457e-05,5,3
-1,40,3.37049e-18,2,5
1,190,1.6475e-05,2,0
1,280,0.00197174,0,1
1,450,0.0045966,1,2
1,260,0.000586596,5,5
1,220,1.98021e-06,5,1
-1,90,6.87943e-08,2,3
-1,100,2.84747e-08,1,4
1,60,3.2545e-12,5,2
-1,180,8.99459e-07,0,4
-1,540,0.00208544,4,4
1,390,0.000120376,4,2
1,140,2.49546e-06,2,0
1,400,0.00153311,0,0
-1,530,0.000145478,0,2
-1,550,0.000146017,0,2
1,90,6.87945e-08,3,2
