trial,choice,rt,valueLeft,valueRight,fixItem,fixTime
42,1,1920,3,4,0,110
42,1,1920,3,4,2,30
43,-1,1120,3,1,0,200
43,-1,1120,3,1,1,310
43,-1,1120,3,1,0,70
43,-1,1120,3,1,2,410
43,-1,1120,3,1,0,90
43,-1,1120,3,1,1,40
44,1,200,3,6,0,200
45,-1,1320,3,5,0,220
45,-1,1320,3,5,1,250
45,-1,1320,3,5,0,80
45,-1,1320,3,5,2,430
45,-1,1320,3,5,0,80
45,-1,1320,3,5,1,260
46,-1,710,3,1,0,270
46,-1,710,3,1,2,210
46,-1,710,3,1,0,90
46,-1,710,3,1,1,140
47,1,1960,3,4,0,220
47,1,1960,3,4,1,570
47,1,1960,3,4,0,70
47,1,1960,3,4,2,420
47,1,1960,3,4,0,70
47,1,1960,3,4,1,610
48,-1,2710,3,0,0,280
48,-1,2710,3,0,2,90
48,-1,2710,3,0,0,80
48,-1,2710,3,0,1,370
48,-1,2710,3,0,0,300
48,-1,2710,3,0,2,1220
48,-1,2710,3,0,0,90
48,-1,2710,3,0,1,280
49,-1,5250,3,3,0,200
49,-1,5250,3,3,1,780
49,-1,5250,3,3,0,60
49,-1,5250,3,3,2,310
49,-1,5250,3,3,0,90
49,-1,5250,3,3,1,350
49,-1,5250,3,3,0,70
49,-1,5250,3,3,2,790
49,-1,5250,3,3,0,80
49,-1,5250,3,3,1,540
49,-1,5250,3,3,0,70
49,-1,5250,3,3,2,570
49,-1,5250,3,3,0,60
49,-1,5250,3,3,1,570
49,-1,5250,3,3,0,100
49,-1,5250,3,3,2,310
49,-1,5250,3,3,0,80
49,-1,5250,3,3,1,220
50,1,1270,3,2,0,320
50,1,1270,3,2,1,210
50,1,1270,3,2,0,70
50,1,1270,3,2,2,660
50,1,1270,3,2,0,10
51,1,770,3,3,0,250
51,1,770,3,3,1,240
51,1,770,3,3,0,70
51,1,770,3,3,2,210
52,-1,1270,3,0,0,290
52,-1,1270,3,0,1,290
52,-1,1270,3,0,0,70
52,-1,1270,3,0,2,470
52,-1,1270,3,0,0,150
53,1,870,3,4,0,310
53,1,870,3,4,1,170
53,1,870,3,4,0,90
53,1,870,3,4,2,300
54,-1,990,3,1,0,210
54,-1,990,3,1,1,210
54,-1,990,3,1,0,70
54,-1,990,3,1,2,260
54,-1,990,3,1,0,60
54,-1,990,3,1,1,180
55,1,2120,3,3,0,260
55,1,2120,3,3,1,320
55,1,2120,3,3,0,70
55,1,2120,3,3,2,340
55,1,2120,3,3,0,90
55,1,2120,3,3,1,660
55,1,2120,3,3,0,50
55,1,2120,3,3,2,330
56,-1,920,3,0,0,180
56,-1,920,3,0,1,550
56,-1,920,3,0,0,70
56,-1,920,3,0,2,120
57,-1,1220,3,1,0,200
57,-1,1220,3,1,2,370
57,-1,1220,3,1,0,80
57,-1,1220,3,1,1,570
58,1,960,3,6,0,210
58,1,960,3,6,1,220
58,1,960,3,6,0,90
58,1,960,3,6,2,440
59,1,1240,3,4,0,230
59,1,1240,3,4,2,140
59,1,1240,3,4,0,70
59,1,1240,3,4,1,350
59,1,1240,3,4,0,80
59,1,1240,3,4,2,370
60,-1,4190,3,3,0,310
60,-1,4190,3,3,2,280
60,-1,4190,3,3,0,70
60,-1,4190,3,3,1,690
60,-1,4190,3,3,0,90
60,-1,4190,3,3,2,520
60,-1,4190,3,3,0,60
60,-1,4190,3,3,1,1190
60,-1,4190,3,3,0,80
60,-1,4190,3,3,2,480
60,-1,4190,3,3,0,70
60,-1,4190,3,3,1,350
61,1,1370,3,3,0,320
61,1,1370,3,3,1,260
61,1,1370,3,3,0,90
61,1,1370,3,3,2,700
62,1,1140,3,5,0,240
62,1,1140,3,5,1,350
62,1,1140,3,5,0,300
62,1,1140,3,5,2,250
63,1,930,3,5,0,260
63,1,930,3,5,1,500
63,1,930,3,5,0,70
63,1,930,3,5,2,100
64,-1,1310,3,2,0,220
64,-1,1310,3,2,2,260
64,-1,1310,3,2,0,220
64,-1,1310,3,2,1,610
65,1,3450,3,4,0,300
65,1,3450,3,4,2,670
65,1,3450,3,4,0,70
65,1,3450,3,4,1,170
65,1,3450,3,4,0,70
65,1,3450,3,4,2,420
65,1,3450,3,4,0,60
65,1,3450,3,4,1,860
65,1,3450,3,4,0,60
65,1,3450,3,4,2,770
66,1,740,3,5,0,200
66,1,740,3,5,1,200
66,1,740,3,5,0,70
66,1,740,3,5,2,270
67,-1,490,3,0,0,130
67,-1,490,3,0,1,230
67,-1,490,3,0,0,90
67,-1,490,3,0,2,40
68,-1,400,3,0,0,280
68,-1,400,3,0,1,120
69,-1,1690,3,4,0,270
69,-1,1690,3,4,1,360
69,-1,1690,3,4,0,60
69,-1,1690,3,4,2,470
69,-1,1690,3,4,0,90
69,-1,1690,3,4,1,440
70,1,2060,3,6,0,160
70,1,2060,3,6,1,360
70,1,2060,3,6,0,910
70,1,2060,3,6,2,630
71,-1,1720,3,0,0,220
71,-1,1720,3,0,2,180
71,-1,1720,3,0,0,70
71,-1,1720,3,0,1,210
71,-1,1720,3,0,0,80
71,-1,1720,3,0,2,790
71,-1,1720,3,0,0,70
71,-1,1720,3,0,1,100
72,1,2730,3,4,0,200
72,1,2730,3,4,2,150
72,1,2730,3,4,0,80
72,1,2730,3,4,1,660
72,1,2730,3,4,0,200
72,1,2730,3,4,2,670
72,1,2730,3,4,0,90
72,1,2730,3,4,1,130
72,1,2730,3,4,0,70
72,1,2730,3,4,2,480
73,-1,1650,3,2,0,270
73,-1,1650,3,2,1,180
73,-1,1650,3,2,0,90
73,-1,1650,3,2,2,430
73,-1,1650,3,2,0,140
73,-1,1650,3,2,1,540
74,1,1170,3,4,0,250
74,1,1170,3,4,2,270
74,1,1170,3,4,0,70
74,1,1170,3,4,1,480
74,1,1170,3,4,0,70
74,1,1170,3,4,2,30
75,-1,690,3,1,0,260
75,-1,690,3,1,1,430
76,1,870,3,4,0,260
76,1,870,3,4,1,140
76,1,870,3,4,0,80
76,1,870,3,4,2,390
77,1,1660,3,4,0,220
77,1,1660,3,4,2,230
77,1,1660,3,4,0,80
77,1,1660,3,4,1,500
77,1,1660,3,4,0,70
77,1,1660,3,4,2,560
78,1,2210,3,6,0,200
78,1,2210,3,6,2,480
78,1,2210,3,6,0,80
78,1,2210,3,6,1,380
78,1,2210,3,6,0,90
78,1,2210,3,6,2,680
78,1,2210,3,6,0,90
78,1,2210,3,6,1,210
79,-1,2380,3,0,0,410
79,-1,2380,3,0,1,410
79,-1,2380,3,0,0,80
79,-1,2380,3,0,2,1300
79,-1,2380,3,0,0,80
79,-1,2380,3,0,1,100
80,1,1060,3,2,0,400
80,1,1060,3,2,1,300
80,1,1060,3,2,0,90
80,1,1060,3,2,2,270
81,-1,2460,3,2,0,260
81,-1,2460,3,2,1,280
