choice,RT,p
-1,4110,0.00030056224410786585
1,680,0.00224477113238257
1,430,0.009044896093423934
-1,980,0.002129989022638099
-1,4110,0.0003233046191142138
1,3070,0.000614052564532841
-1,1400,0.003163133039330434
1,350,0.013417935023115387
-1,2430,0.0005384605018918746
1,400,0.008494091035384387
1,1020,0.0059076193395422045
-1,1000,0.00609332656164496
-1,1770,0.0016799140133750895
1,740,0.008688218415275764
-1,650,0.011758084277332327
-1,1860,0.0022535704910938395
-1,1120,0.0050398463178651706
-1,810,0.00799982000326293
1,630,0.0022070714780933116
-1,2640,0.0008005388588879462
-1,690,0.005426124516688758
-1,910,0.0069710890860458135
1,480,0.004808955690092632
1,300,0.002346758829161898
1,780,0.008650154201128697
-1,390,0.014629837716250144
1,370,0.014116843245976137
-1,4210,0.00030396519955218414
-1,470,0.009537480624139082
1,200,0.003293023037845832
-1,900,0.002194490662134248
-1,820,0.0052155529507855744
1,2360,7.330031300564723e-05
1,770,0.008874171485658052
1,830,0.007585356218597092
1,590,0.00215557593994393
1,1610,0.0028138889136784966
-1,530,0.014420614826853166
-1,420,0.004227129226680945
1,840,0.005164689732117823
1,1500,0.002668520188323104
-1,710,0.008965665792209192
-1,3080,0.0006102767645952004
-1,1080,0.000528212397130843
-1,1380,0.0032720669668835035
1,470,0.015146443391358542
-1,1820,0.0015414531407753269
-1,1940,0.0002683766408091689
-1,1460,0.0032100594156897655
-1,1400,0.0033817197657782776
-1,4020,0.0003417599330896216
-1,1830,0.0023146436052455407
-1,4040,3.836338868762861e-05
1,1240,0.002304070546035842
1,1050,0.005636407966434254
1,2820,0.0007164262248287761
-1,350,0.00038823121540051264
-1,1320,0.00043421720556725894
1,1090,0.004372329783674493
-1,920,0.006870678488829259
1,7150,4.957413309408642e-05
1,1330,0.003591327894064925
1,6030,6.452298873489499e-06
-1,1620,0.0007202221656559508
-1,570,0.005289536753609422
-1,8660,1.9532396498874632e-05
-1,900,0.006261196778439635
-1,4150,0.00028998302016103913
1,320,0.012002259852462917
-1,660,0.011511166936361885
-1,580,0.013421991732333495
1,710,0.005411579074731
1,2640,0.0008005388588879436
-1,760,0.009101585107930693
-1,250,0.007163561320718092
1,470,0.00953748062413911
-1,620,0.012491109872585657
-1,770,0.00887417148565806
-1,420,0.015083424743796588
-1,2710,0.00033212122756376953
-1,590,0.009775082925156005
-1,1880,0.0002653838827365869
1,480,0.009621889465170445
-1,1020,0.005907619339542193
1,350,0.013417935023115387
-1,420,0.015083424743796588
1,740,0.0006444571577453567
1,400,0.014821040079214061
-1,1550,0.0029667250920472153
1,1110,0.0020052995693038782
1,730,0.009802396154990555
1,620,0.009636849010179822
-1,420,0.015083424743796588
-1,970,0.004773811901314698
-1,3350,0.0005166548425892124
-1,550,0.014051630288234218
-1,2770,0.0009982718718799222
-1,1000,0.004674965552954736
-1,580,0.009807854432392267
-1,540,0.014242127224770898
-1,1040,0.002074501300673953
-1,1390,0.003217162283967476
1,510,0.01473532157422277
